Пользователь;Дата;Статус;Баллы;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Отметьте слова, в которых пропущена буква «и»;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Впишите через запятую, без пробелов пропущенные буквы. Наде_вшийся, раска_вшийся, кле_вший, ла_вший;;;;Выпишите через запятую слова, имеющие слитное написание с НЕ или НИ. Ему (не)хватает опытности и (не)достаёт терпения.;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Определите слитное или раздельное написание союзов. Теплая небесная вода для растений то (же) самое, что для нас любовь.;;;;Определите слитное или раздельное написание союзов. Один только месяц все так (же) блистательно и чудно плыл в необъятных пустынях роскошного украинского неба . (Г.);;;;Выберите строки, в которых во всех словах пишется одинаковое количество Н.;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Определите слитное или раздельное написание союзов. Я пригласил вас, господа, с тем, что (бы) сообщить пренеприятное известие. (Г.);;;;Определите слитное или раздельное написание союзов. (От) того я присмирел, что я слышу топот дальний.;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Отметьте слова, в которых пропущена буква «ы»;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите строки, в которых во всех словах пишется НН;;;;"Определите слитное или раздельное написание союзов. Бранил Гомера, Феокрита; за (то) читал Адама Смита.";;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Определите слитное или раздельное написание союзов. Мы выпили по стакану воды, при (чем) старик нам кланялся в пояс.;;;;Раскройте скобки, запишите верный вариант написания предлога. Что ты имеешь (в) виду, говоря об этом?;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Раскройте скобки, напишите верный вариант написания предлога. (В) продолжени.. ночи, предшествовавшей поединку, я не спал ни минуты.;;;;Выпишите через запятую, в порядке очередности слова, имеющие слитное написание с НЕ или НИ. (Не)скоро и как-то (не)чаянно сон овладел мною, и зато я заснул уже так крепко, что (ни)чего (не)слыхал.;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Определите слитное или раздельное написание союзов. Что (бы) ни говорил, что (бы) ни предлагал, давно известно и есть то самое нужное, что нужно.;;;;Определите ряд, в котором во всех словах пропущен Ъ;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Раскройте скобки, напишите верный вариант написания предлога. (В) виду предстоящих расходов мы решили сэкономить на поездке;;;;Выберите строку, в которой пропущена одна и та же буква;;;
;;;;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ
20250801007;13.08.2025 10:44;Пройден;20 / 20 (100%);единственный выбор;lcnwu5wcgk;Непроходимые леса;Непроходимые леса;множественный выбор;lcnwu5wcgk;"пост_нфарктный; транс_орданский";"пост_нфарктный; транс_орданский";единственный выбор;lcnwu5wcgk;Не растворимый ни в какой жидкости;Не растворимый ни в какой жидкости;текстовый ввод;lcnwu5wcgk;Я,Я,И,Я;я,я,и,я;текстовый ввод;lcnwu5wcgk;НЕДОСТАЁТ;недостаёт, недостает;единственный выбор;lcnwu5wcgk;Экзамен не выучен;Экзамен не выучен;единственный выбор;lcnwu5wcgk;_доба, _гибать, бе_содержательный, _жечь;_доба, _гибать, бе_содержательный, _жечь;единственный выбор;lcnwu5wcgk;Провяленная рыба;Провяленная рыба;единственный выбор;lcnwu5wcgk;Не прочитанная мною книга;Не прочитанная мною книга;единственный выбор;lcnwu5wcgk;ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);единственный выбор;lcnwu5wcgk;раздельно;раздельно;единственный выбор;lcnwu5wcgk;раздельно;раздельно;множественный выбор;lcnwu5wcgk;"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";единственный выбор;lcnwu5wcgk;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;Ни с чем не сравнимый;Ни с чем не сравнимый;единственный выбор;lcnwu5wcgk;Вяленая рыба;Вяленая рыба;единственный выбор;lcnwu5wcgk;Незлобный, но придирчивый;Незлобный, но придирчивый;множественный выбор;lcnwu5wcgk;"под_тожить; без_дейный; небез_звестный";"под_тожить; без_дейный; небез_звестный";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20250801010;14.08.2025 11:37;Пройден;17 / 20 (85%);единственный выбор;lcnwu5wcgk;Непроходимые леса;Непроходимые леса;множественный выбор;lcnwu5wcgk;"пост_нфарктный; транс_орданский";"пост_нфарктный; транс_орданский";;;;;;;;;текстовый ввод;lcnwu5wcgk;недостаёт;недостаёт, недостает;;;;;единственный выбор;lcnwu5wcgk;_доба, _гибать, бе_содержательный, _жечь;_доба, _гибать, бе_содержательный, _жечь;;;;;единственный выбор;r1s987zw3e;Непрочитанная мною книга;Не прочитанная мною книга;единственный выбор;r1s987zw3e;ч_стота (колебаний), сокр_щённый, ум_лять (родителей), разгл_шать (тайну);ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);;;;;;;;;множественный выбор;lcnwu5wcgk;"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";;;;;единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;;;;;единственный выбор;lcnwu5wcgk;Вяленая рыба;Вяленая рыба;единственный выбор;lcnwu5wcgk;Незлобный, но придирчивый;Незлобный, но придирчивый;множественный выбор;lcnwu5wcgk;"под_тожить; без_дейный; небез_звестный";"под_тожить; без_дейный; небез_звестный";единственный выбор;lcnwu5wcgk;Не прочитанная, а лишь просмотренная книга;Не прочитанная, а лишь просмотренная книга;единственный выбор;lcnwu5wcgk;обвеш_нный (орденами), выслуш_нный, выкач_нная нефть;обвеш_нный (орденами), выслуш_нный, выкач_нная нефть;множественный выбор;lcnwu5wcgk;"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;непр_ложный (закон), пр_старелый, пр_клонные (годы);непр_ложный (закон), пр_старелый, пр_клонные (годы);единственный выбор;lcnwu5wcgk;пр_клоняться перед героем, пр_имущество, пр_сытиться;пр_клоняться перед героем, пр_имущество, пр_сытиться;единственный выбор;lcnwu5wcgk;слитно;слитно;текстовый ввод;r1s987zw3e;Что ты имеешь в виду говоря об этом ?;в виду;единственный выбор;lcnwu5wcgk;Израненный человек;Израненный человек;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20250801010;14.08.2025 12:39;Не пройден;0 / 20 (0%);единственный выбор;r1s987zw3e;;Непроходимые леса;;;;;единственный выбор;r1s987zw3e;;Не растворимый ни в какой жидкости;;;;;;;;;;;;;единственный выбор;r1s987zw3e;;_доба, _гибать, бе_содержательный, _жечь;;;;;;;;;единственный выбор;r1s987zw3e;;ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);единственный выбор;r1s987zw3e;;раздельно;;;;;множественный выбор;r1s987zw3e;;"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";единственный выбор;r1s987zw3e;;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;единственный выбор;r1s987zw3e;;слитно;единственный выбор;r1s987zw3e;;слитно;единственный выбор;r1s987zw3e;;Ни с чем не сравнимый;;;;;;;;;множественный выбор;r1s987zw3e;;"под_тожить; без_дейный; небез_звестный";единственный выбор;r1s987zw3e;;Не прочитанная, а лишь просмотренная книга;;;;;множественный выбор;r1s987zw3e;;"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";;;;;;;;;;;;;единственный выбор;r1s987zw3e;;слитно;текстовый ввод;r1s987zw3e;;в виду;;;;;текстовый ввод;r1s987zw3e;;В продолжение;текстовый ввод;r1s987zw3e;;нечаянно, ничего;единственный выбор;r1s987zw3e;;Балованный ребенок;единственный выбор;r1s987zw3e;;Непокрашенный забор;единственный выбор;r1s987zw3e;;раздельно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20250801003;07.08.2025 14:45;Не пройден;2 / 20 (10%);;;;;множественный выбор;r1s987zw3e;;"пост_нфарктный; транс_орданский";;;;;текстовый ввод;r1s987zw3e;;я,я,и,я;текстовый ввод;r1s987zw3e;;недостаёт, недостает;единственный выбор;r1s987zw3e;;Экзамен не выучен;единственный выбор;r1s987zw3e;;_доба, _гибать, бе_содержательный, _жечь;;;;;;;;;;;;;;;;;единственный выбор;r1s987zw3e;;раздельно;множественный выбор;r1s987zw3e;;"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";единственный выбор;r1s987zw3e;;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;;;;;;;;;единственный выбор;r1s987zw3e;Ни с чем несравнимый;Ни с чем не сравнимый;единственный выбор;r1s987zw3e;;Вяленая рыба;единственный выбор;r1s987zw3e;;Незлобный, но придирчивый;множественный выбор;r1s987zw3e;;"под_тожить; без_дейный; небез_звестный";;;;;единственный выбор;r1s987zw3e;;обвеш_нный (орденами), выслуш_нный, выкач_нная нефть;множественный выбор;r1s987zw3e;;"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";;;;;;;;;единственный выбор;r1s987zw3e;;пр_клоняться перед героем, пр_имущество, пр_сытиться;;;;;текстовый ввод;lcnwu5wcgk;в виду;в виду;;;;;;;;;;;;;;;;;;;;;единственный выбор;r1s987zw3e;;раздельно;единственный выбор;lcnwu5wcgk;трех_язычный, контр_якобинцы, меж_ярусный, из_ян;трех_язычный, контр_якобинцы, меж_ярусный, из_ян;единственный выбор;r1s987zw3e;;Не видимые простым глазом звезды;единственный выбор;r1s987zw3e;;р_стовщик, вск_чить, покл_нение, заг_рать;;;;;;;;;;;;;;;;;;;;
20250801001;18.08.2025 16:00;Пройден;16 / 20 (80%);;;;;множественный выбор;r1s987zw3e;"пост_нфарктный; без_нициативный; транс_орданский";"пост_нфарктный; транс_орданский";;;;;текстовый ввод;lcnwu5wcgk;я,я,и,я;я,я,и,я;;;;;единственный выбор;lcnwu5wcgk;Экзамен не выучен;Экзамен не выучен;;;;;единственный выбор;lcnwu5wcgk;Провяленная рыба;Провяленная рыба;единственный выбор;r1s987zw3e;Непрочитанная мною книга;Не прочитанная мною книга;единственный выбор;lcnwu5wcgk;ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);;;;;единственный выбор;lcnwu5wcgk;раздельно;раздельно;;;;;;;;;единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;единственный выбор;lcnwu5wcgk;Ни с чем не сравнимый;Ни с чем не сравнимый;единственный выбор;lcnwu5wcgk;Вяленая рыба;Вяленая рыба;;;;;;;;;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;единственный выбор;lcnwu5wcgk;пр_клоняться перед героем, пр_имущество, пр_сытиться;пр_клоняться перед героем, пр_имущество, пр_сытиться;единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;;;;;текстовый ввод;r1s987zw3e;В продолжение ночи, предшествовавшей поединку, я не спа ни минуты.;В продолжение;;;;;;;;;единственный выбор;lcnwu5wcgk;Непокрашенный забор;Непокрашенный забор;;;;;единственный выбор;lcnwu5wcgk;трех_язычный, контр_якобинцы, меж_ярусный, из_ян;трех_язычный, контр_якобинцы, меж_ярусный, из_ян;;;;;;;;;единственный выбор;lcnwu5wcgk;Вовсе не красивый поступок;Вовсе не красивый поступок;единственный выбор;r1s987zw3e;Вяленая на солнце рыба;Вяленная на солнце рыба;единственный выбор;lcnwu5wcgk;Нерастворимый в воде элемент;Нерастворимый в воде элемент;текстовый ввод;lcnwu5wcgk;Ввиду;ввиду;;;;
20250801009;20.08.2025 12:54;Не пройден;8 / 20 (40%);;;;;;;;;;;;;;;;;;;;;;;;;единственный выбор;r1s987zw3e;ра_шить, ни_ший, _дача, бе_церемонный;_доба, _гибать, бе_содержательный, _жечь;единственный выбор;lcnwu5wcgk;Провяленная рыба;Провяленная рыба;единственный выбор;r1s987zw3e;Непрочитанная мною книга;Не прочитанная мною книга;;;;;единственный выбор;r1s987zw3e;слитно;раздельно;;;;;;;;;единственный выбор;lcnwu5wcgk;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;единственный выбор;lcnwu5wcgk;Ни с чем не сравнимый;Ни с чем не сравнимый;;;;;;;;;множественный выбор;lcnwu5wcgk;"под_тожить; без_дейный; небез_звестный";"под_тожить; без_дейный; небез_звестный";;;;;единственный выбор;r1s987zw3e;перемеш_нная (глина), взвеш_нные (конфеты), развеш_нное (белье), замеш_нное (тесто);обвеш_нный (орденами), выслуш_нный, выкач_нная нефть;множественный выбор;r1s987zw3e;шифрова_ая депеша, скопирова_ый текст, дорога дли_а;"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;r1s987zw3e;пр_вередливый, пр_ходящая (ценность), пр_обретатель;непр_ложный (закон), пр_старелый, пр_клонные (годы);единственный выбор;r1s987zw3e;пр_глушить, пр_рекание, пр_способить;пр_клоняться перед героем, пр_имущество, пр_сытиться;единственный выбор;lcnwu5wcgk;слитно;слитно;текстовый ввод;r1s987zw3e;что ты имеешь в виду, говоря об этом;в виду;;;;;;;;;текстовый ввод;lcnwu5wcgk;нечаянно, ничего;нечаянно, ничего;;;;;единственный выбор;r1s987zw3e;Непокрашеный забор;Непокрашенный забор;;;;;;;;;единственный выбор;r1s987zw3e;Невидимые простым глазом звезды;Не видимые простым глазом звезды;;;;;;;;;единственный выбор;r1s987zw3e;Вяленая на солнце рыба;Вяленная на солнце рыба;;;;;;;;;множественный выбор;r1s987zw3e;завис_мый, невид_мый, колебл_мый, слыш_мый;кле_щий, ненавид_щий, терп_щий, завис_щий
20250801011;21.08.2025 12:36;Пройден;16 / 20 (80%);единственный выбор;lcnwu5wcgk;Непроходимые леса;Непроходимые леса;;;;;единственный выбор;r1s987zw3e;Нерастворимый ни в какой жидкости;Не растворимый ни в какой жидкости;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;_доба, _гибать, бе_содержательный, _жечь;_доба, _гибать, бе_содержательный, _жечь;единственный выбор;lcnwu5wcgk;Провяленная рыба;Провяленная рыба;;;;;единственный выбор;lcnwu5wcgk;ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);;;;;единственный выбор;r1s987zw3e;слитно;раздельно;;;;;единственный выбор;lcnwu5wcgk;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;;;;;единственный выбор;r1s987zw3e;раздельно;слитно;единственный выбор;lcnwu5wcgk;Ни с чем не сравнимый;Ни с чем не сравнимый;;;;;;;;;множественный выбор;lcnwu5wcgk;"под_тожить; без_дейный; небез_звестный";"под_тожить; без_дейный; небез_звестный";единственный выбор;lcnwu5wcgk;Не прочитанная, а лишь просмотренная книга;Не прочитанная, а лишь просмотренная книга;;;;;множественный выбор;r1s987zw3e;шифрова_ая депеша, скопирова_ый текст, дорога дли_а;"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;непр_ложный (закон), пр_старелый, пр_клонные (годы);непр_ложный (закон), пр_старелый, пр_клонные (годы);;;;;;;;;;;;;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;Балованный ребенок;Балованный ребенок;;;;;;;;;единственный выбор;lcnwu5wcgk;трех_язычный, контр_якобинцы, меж_ярусный, из_ян;трех_язычный, контр_якобинцы, меж_ярусный, из_ян;единственный выбор;lcnwu5wcgk;Не видимые простым глазом звезды;Не видимые простым глазом звезды;;;;;единственный выбор;lcnwu5wcgk;Вовсе не красивый поступок;Вовсе не красивый поступок;;;;;;;;;текстовый ввод;lcnwu5wcgk;Ввиду;ввиду;множественный выбор;lcnwu5wcgk;кле_щий, ненавид_щий, терп_щий, завис_щий;кле_щий, ненавид_щий, терп_щий, завис_щий
20250801009;20.08.2025 13:09;Пройден;12 / 20 (60%);;;;;;;;;единственный выбор;r1s987zw3e;Нерастворимый ни в какой жидкости;Не растворимый ни в какой жидкости;;;;;текстовый ввод;lcnwu5wcgk;недостаёт;недостаёт, недостает;единственный выбор;lcnwu5wcgk;Экзамен не выучен;Экзамен не выучен;единственный выбор;lcnwu5wcgk;_доба, _гибать, бе_содержательный, _жечь;_доба, _гибать, бе_содержательный, _жечь;единственный выбор;lcnwu5wcgk;Провяленная рыба;Провяленная рыба;;;;;;;;;единственный выбор;r1s987zw3e;слитно;раздельно;единственный выбор;lcnwu5wcgk;раздельно;раздельно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;множественный выбор;lcnwu5wcgk;"под_тожить; без_дейный; небез_звестный";"под_тожить; без_дейный; небез_звестный";;;;;единственный выбор;r1s987zw3e;зате_ли, разве_ли, раскле_ли, раста_ли;обвеш_нный (орденами), выслуш_нный, выкач_нная нефть;множественный выбор;r1s987zw3e;"рекомендова_ый на должность, реше_ый вопрос, вещи сильно изноше_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;;;;;;;;;текстовый ввод;r1s987zw3e;Что ты имеешь в виду, говоря об этом?;в виду;единственный выбор;lcnwu5wcgk;Израненный человек;Израненный человек;текстовый ввод;r1s987zw3e;В продолжении ночи, предшествовавшей поединку, я не спал ни минуты.;В продолжение;текстовый ввод;lcnwu5wcgk;нечаянно, ничего;нечаянно, ничего;;;;;единственный выбор;lcnwu5wcgk;Непокрашенный забор;Непокрашенный забор;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;р_стовщик, вск_чить, покл_нение, заг_рать;р_стовщик, вск_чить, покл_нение, заг_рать;;;;;единственный выбор;r1s987zw3e;Вяленая на солнце рыба;Вяленная на солнце рыба;единственный выбор;lcnwu5wcgk;Нерастворимый в воде элемент;Нерастворимый в воде элемент;текстовый ввод;r1s987zw3e;Ввиду предстоящих расходов мы решили сэкономить на поездке;ввиду;;;;
20250801006;27.08.2025 15:07;Пройден;18 / 20 (90%);;;;;множественный выбор;lcnwu5wcgk;"пост_нфарктный; транс_орданский";"пост_нфарктный; транс_орданский";;;;;текстовый ввод;r1s987zw3e;надеявшийся,раскаявшийся,клеивший,лаявший;я,я,и,я;;;;;единственный выбор;lcnwu5wcgk;Экзамен не выучен;Экзамен не выучен;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);единственный выбор;lcnwu5wcgk;раздельно;раздельно;единственный выбор;lcnwu5wcgk;раздельно;раздельно;множественный выбор;r1s987zw3e;"победа заслуже_а ими, беше_ым галопом; дети беспокойны и неуравновеше_ы, девочка румя_а; неквалифицирова_ый труд, неувере_о отвечать";"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";;;;;единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;Ни с чем не сравнимый;Ни с чем не сравнимый;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;Не прочитанная, а лишь просмотренная книга;Не прочитанная, а лишь просмотренная книга;;;;;множественный выбор;lcnwu5wcgk;"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";"иллюстрирова_ая брошюра, жела_ая встреча, ученики часто рассея_ы; шифрова_ая депеша, скопирова_ый текст, дорога дли_а";единственный выбор;lcnwu5wcgk;слитно;слитно;;;;;единственный выбор;lcnwu5wcgk;пр_клоняться перед героем, пр_имущество, пр_сытиться;пр_клоняться перед героем, пр_имущество, пр_сытиться;;;;;;;;;единственный выбор;lcnwu5wcgk;Израненный человек;Израненный человек;текстовый ввод;lcnwu5wcgk;в продолжение;В продолжение;;;;;единственный выбор;lcnwu5wcgk;Балованный ребенок;Балованный ребенок;;;;;;;;;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;Вовсе не красивый поступок;Вовсе не красивый поступок;единственный выбор;lcnwu5wcgk;Вяленная на солнце рыба;Вяленная на солнце рыба;;;;;;;;;множественный выбор;lcnwu5wcgk;кле_щий, ненавид_щий, терп_щий, завис_щий;кле_щий, ненавид_щий, терп_щий, завис_щий
